"","x"
"npar",6
"fmin",0
"chisq",0
"df",0
"pvalue",NA
"baseline.chisq",53.2354061081517
"baseline.df",3
"baseline.pvalue",1.63327129598656e-11
"cfi",1
"tli",1
"nnfi",1
"rfi",1
"nfi",1
"pnfi",0
"ifi",1
"rni",1
"logl",-1606.49753067523
"unrestricted.logl",-1606.49753067523
"aic",3224.99506135046
"bic",3248.69891666598
"ntotal",384
"bic2",3229.66176258516
"rmsea",0
"rmsea.ci.lower",0
"rmsea.ci.upper",0
"rmsea.ci.level",0.9
"rmsea.pvalue",NA
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",NA
"rmsea.notclose.h0",0.08
"rmr",1.11335158282868e-08
"rmr_nomean",1.11335158282868e-08
"srmr",1.11625850700469e-08
"srmr_bentler",1.11625850700469e-08
"srmr_bentler_nomean",1.11625850700469e-08
"crmr",2.55751514545463e-09
"crmr_nomean",2.55751514545463e-09
"srmr_mplus",1.10715705921942e-08
"srmr_mplus_nomean",1.10715705921942e-08
"cn_05",NA
"cn_01",NA
"gfi",1
"agfi",1
"pgfi",0
"mfi",1
"ecvi",0.03125
