"","x"
"npar",6
"fmin",2.22044604925031e-16
"chisq",1.70530256582424e-13
"df",0
"pvalue",NA
"baseline.chisq",12.8547906095842
"baseline.df",3
"baseline.pvalue",0.00496138756199815
"cfi",0.999999999999983
"tli",1
"nnfi",1
"rfi",1
"nfi",1
"pnfi",0
"ifi",0.999999999999987
"rni",0.999999999999983
"logl",-1626.68783842451
"unrestricted.logl",-1626.68783842451
"aic",3265.37567684903
"bic",3289.07953216455
"ntotal",384
"bic2",3270.04237808373
"rmsea",0
"rmsea.ci.lower",0
"rmsea.ci.upper",0
"rmsea.ci.level",0.9
"rmsea.pvalue",NA
"rmsea.close.h0",0.05
"rmsea.notclose.pvalue",NA
"rmsea.notclose.h0",0.08
"rmr",2.65380538598491e-09
"rmr_nomean",2.65380538598491e-09
"srmr",2.66073441432915e-09
"srmr_bentler",2.66073441432915e-09
"srmr_bentler_nomean",2.66073441432915e-09
"crmr",1.47790131328892e-09
"crmr_nomean",1.47790131328892e-09
"srmr_mplus",2.63860384324652e-09
"srmr_mplus_nomean",2.63860384324652e-09
"cn_05",1
"cn_01",1
"gfi",1
"agfi",1
"pgfi",0
"mfi",1
"ecvi",0.0312500000000004
