Doc,Abstract
1,"The proceedings contain 25 papers. The special focus in this conference is on of Computer Society of India: ICT Based Innovations. The topics include: Minimax (Maximin) with special approach of gamification in higher education; comparing the behavior of oversampling and undersampling approach of class imbalance learning by combining class imbalance problem with noise; proposed ICT-based transportation model; multi-criteria rating using fuzzy ranking for improving soil recommendation system; a way to connect farmer community to agriculture market for betterment of rural development; a methodical study on behavior of different seeds using an iterative technique with evaluation of cluster validity; bharatanatyam dance classification with rough set tools; effective and efficient digital advertisement algorithms; automation of patient information in healthcare system; recommendation for selecting smart village in india through opinion mining using big data analytics; analyzing online groups or the communities in social media networks by algorithmic approach; open source EJBCA public key infrastructure for e-governance enabled software systems in RRCAT; anticipation of gross domestic product using world development indicators; an efficacious matching of finger knuckle print images using gabor feature; an ensemble-based decision support system for the students' academic performance prediction; content-based social network aggregation; collaborative filtering-based recommender system; classifying exoplanets as potentially habitable using machine learning; towards understanding preference of use of emoticons for effective online communication and promotion; computer simulation using GPSC package MATLAB, simulink for bioinformatics professional."
2,"The global burden of fracture-related infection (FRI) is likely to be found in countries with limited healthcare resources and strategies are needed to ensure the best available practice is context appropriate. This study has two main aims: (i) to assess the applicability of recently published expert guidance from the FRI consensus groups on the diagnosis and management of FRI to low- and middle-income countries (LMICs); (ii) to summarise the available evidence on FRI, with consideration for strategies applicable to low resource settings. Data related to the International Consensus Meeting Orthopaedic Trauma Work Group and the International Fracture Related Infection Consensus Group FRI guidelines were collected including panel membership, country of origin, language of publication, open access status and impact factor of the journal of publication. The recommendations and guidelines were then summarised with specific consideration for relevance and applicability to LMICs. Barriers to implementation were explored within a group of LMIC residents and experienced workers. The authorship, evidence base and reach of the FRI consensus guidelines lack representation from low resource settings. The majority of authors (78.5-100%) are based in high-income countries and there are no low-income country collaborators listed in any of the papers. All papers are in English. The FRI consensus guidelines give a clear set of principles for the optimum management of FRI. Many of these - including the approach to diagnosis, multidisciplinary team working and some elements of surgical management - are achievable in low resource settings. Current evidence suggests that it is important that a core set of principles is prioritised but robust evidence for this is lacking. There are major organisational and infrastructure obstacles in LMICs that will make any standardisation of FRI diagnosis or management challenging. The detail of how FRI consensus principles should be applied in low resource settings requires further work. The important work presented in the current FRI consensus guidelines is relevant to low resource settings. However, leadership, collaboration, creativity and innovation will be needed to implement these strategies for communities who need it the most. © 2022. The authors. All Rights Reserved."
3,"Background and Objectives: The recent progress in medical image analysis has given birth to image-guided therapy, virtual reality and augmented reality. These among other innovations have greatly improved healthcare delivery, improved quality of life and also saved lives. The advances in Internet and network technology have produced web technologies which make it possible to offer platform or software as a service via the web, making it possible for end users to access computer resources or specialized computer tools remotely. However, the high cost of image acquisition, the limited availability of medical image analysts, and the limited collaborative efforts between medical experts and scientists are major challenges for medical image analysis in the developing world. The aim of this project was to develop a medical image e-infrastructure called Medical Image Processor and Analysis (MIPAR) to contain a repository of medical images acquired from Africa and a platform for processing medical images. Methods: The backend of MIPAR which is resident on a High-Performance Computing infrastructure was built using FutureGateway, a framework for building science gateway. The image upload and download module was built upon the framework of Open Access Repository with the front end developed using HTML, CSS and BootStrap. JavaScript and JQuery were used for scripting. User's access to the server is controlled with HTTP response and a Client-Server Architecture, while the image processing tools on the server side communicate with PHP using Representational State Architecture (REST) API. Results: MIPAR was tested using brain MRI images. Images were submitted remotely via MIPAR's web interface and kept in the repository. Image processing facility of MIPAR was tested using the brain extraction module, a 3D image of approximately 43MB was successfully brain extracted within 60 s. Conclusion: MIPAR allows users to donate, download and process medical images at no cost. It is our hope that such useful and unique tool will encourage collaboration, improve diagnosis, improve patient management, and promote open science in Africa. © 2018"
4,"Purpose: Technical solutions could facilitate activities and participation in individuals with disabilities. For the development of solutions, hackathons are a method of interdisciplinary collaboration. For hackathon, the definition of pain points that require solutions is crucial. We aimed to determine engineers’ preferences and expectations regarding pain point qualities. Methods: We used a collaborative approach involving individuals with disability, families, and healthcare professionals to determine pain points for use by engineering students during a disability Hackathon. A pain point bank was built using 3 upstream sources: a survey (350 responses, 20 pain points selected), interviews (8 children, 13 pain points), and a multidisciplinary workshop based on design thinking methods (45 people, 32 pain points). A fourth source was 20 adults with disabilities present during the Hackathon. Engineering students rated pain point qualities from each source in a questionnaire that included closed questions relating to predefined criteria: achievability, specificity, relevance and attractiveness and open questions to collect non-predefined quality criteria. Results: Pain points from the workshop were most frequently used (48%); followed by on-site discussions with mentors (43%), the survey (38%), and interviews (31%). On-site discussions received the highest quality ratings followed by the workshop, survey, and interviews. Three quality criteria emerged from the responses to open questions: “representative”, “empathy”, and “real-need”. Conclusions: To be actionable by engineers, pain points must relate to real needs, be achievable, specific, relevant and attractive but also representative and arouse empathy. We devised a checklist of qualities along with a toolbox of methods to achieve each.Implications For Rehabilitation The first step of the development of technical solutions for children and individuals with disabilities is the identification of their needs and their adequate formulation to be submitted to technical solutions providers. Daily life needs of individuals with disability were gathered for an engineering hackathon and proposed as pain points to 400 engineering students. To facilitate the development of solutions by engineers, pain points must relate to real needs, be specific, relevant, achievable and attractive; be representative and arouse empathy; a toolbox of needs collection methods is proposed to achieve each of those qualities. Discussions with individuals with disability and health professionals should be provided. © 2022 Informa UK Limited, trading as Taylor & Francis Group."
5,"The proceedings contain 572 papers. The special focus in this conference is on Information Systems. The topics include: Health diagnosis of communities of practices (CoPs); open source alternatives for business intelligence; identifying business process activity mappings by optimizing behavioral similarity; hanging with the right crowd; a taxonomy of web-based inbound open innovation initiatives; database intrusion detection: defending against the insider threat; an empirical study of the GIGO axiom in satisficing decisions; analysis of probabilistic news recommender systems; the influence of technology characteristics on privacy calculus; instant messaging privacy in the clouds; towards a component-based description of business models; two-sided cybermediary platforms; an integrative analysis of transactional e-government web usage; facebook usage in government-a case study of information content; deriving business value from asymmetric penalty-reward perspectives of IS users; create attention to attract attention-viral marketing of digital music in social networks; towards a framework for transforming business models into business processes; factors affecting perceived satisfaction with a BPM tool; hypercompetition in the Erp industry; structural flaws in the ethics of technology; ethical considerations for virtual worlds; personality, gender and careers in information technology; on IT control weaknesses in auditors' reports on internal control; effect of the SOX act on IT governance; the influence of general sustainability attitudes and value congruence on consumer behavior; user privacy in mobile advertising; system learning of user interactions; deploying mission critical learning management system using open source software; theorizing the dual role of information technology in technostress research; boundary spanning in business process management; ERP usability and the mangle of practice; direct manipulation tablet apps for education; comparing graphical and tangible user interfaces for a tower defense game; visual perception model for online target marketing; eye movements, perceptions, and performance; individual relationships with technology; internal audit function response to ERP systems implementation; auditing journal entries using self-organizing map; consumer perceptions of the adoption of electronic personal health records; investigating the reciprocal relationships within health virtual communities; designing and visualising healthcare delivery systems; how multinational firms use IT to manage their global operations; conflict, value diversity, and performance in virtual teams; mobile ICT and knowledge sharing in underserved communities; agile decision making framework to support mobile microloans for unbanked customers; the analysis of the telecommunications industry in Thailand; the business value of knowledge management; providing information feedback to bidders in online multi-unit combinatorial auctions; spatial modeling using agents; using probabilistic ontologies for video exploration; new directions, new challenges, and new understandings; function-based categorization of online product information types; exploring antecedents of habit on social network service; personality correlation analysis and applications in social networks; identifying experts in virtual forecasting communities; black males in IT higher education in the USA; technology features, empowering perceptions, and voicing behavior on microblog; information security policy compliance; a preliminary taxonomy for software failure impact; an examination of the success of post-merger IT integration; an analysis of and perspective on the information security maturity model; geographic information systems and the nonprofit sector; effectiveness of shallow hierarchies for document stores; a methodology for the development of web-based information systems; balanced resource allocation; demand response in smart grids; decision support for electric vehicle charging; the expectations for faculty in Latin America; mastering the social IT/Business Alignment Challenge; supply chain resource planning systems; towards a research framework for VLBA operation management; integrating enterprise system's 3rd wave into IS curriculum; a two-tier data-centric framework for flexible business process management; engagement in online communities; organisational semiotics methods to assess organisational readiness for internal use of social media; social media in the workplace; economics of pair programming revisited; social traps of agile methods; metadata exploitation in large-scale data migration projects; collaboratively assessing information quality on the web; reputation management in social commerce communities; E-Business adoption research; a preliminary information theory of difference; replacement of project manager during IT projects-a research agenda; a simulation study of project management and collaborative information technologies; the role of business information visualization in knowledge creation; effects of narrative structure and salient decision points in role playing games; adoption of pervasive e-health solutions; security practices and regulatory compliance in the healthcare industry; the role of demographic characteristics in health care strategic security planning; tailoring software process capability/maturity models for telemedicine systems; understanding dynamic collaboration in teleconsultation; the pathway to enterprise mobile readiness; investigating the role of social media and social capital; exploring 311-driven changes in city government; preventing the gradual decline of shared service centers; developing a conceptual framework for evaluating public sector transformation in the digital era; the impact of cultural differences on cloud computing ecosystems in U.S. and China; an examination of the impact of service climate on service productivity in the organizational context; information systems facilitating groundwater sustainability management; keeping electronic medical records secure and portable; the emerging role of robotics in home health care; information quality assessment technique to evaluate the information exchange; boundary dialogues in user-centric innovation; towards a meditation brain state model using electroencephalographic data; design method requirements for agile system of systems; design and evaluation of a socially enhanced classroom blog to pomote student learning in higher education; it's not all about the music: user preference for musicians on facebook; knowledge seeking and knowledge sharing in a nonprofit organizational partner network: a social network analysis; the mediating role of adaptive personalization in online shopping; exploring the temporal nature of sociomateriality from a work system perspective; sociomateriality as radical ontology; information security management; meeting global business information requirements with enterprise resource planning; knowledge sharing in social networking sites for e-collaboration; applying cognitive principles of similarity to data integration-the case of SIAM; reference model in design science research to gather and model information; impact of online content on attitudes and buying intentions; prospect theory and information security investment decisions; using domain knowledge to facilitate cyber security analysis; conceptualizing data security threats and countermeasures in the E-Discovery process with misuse cases; an empirical analysis of an individual's 360 degree protection from file and data loss; analysis of eBook lending: a game-theory approach; facilitating consumers' evaluation of experience goods and the benefits for vendors; three-factor Model vs. Two-Factor Model; automating enterprise architecture documentation using an enterprise service bus; the influence of role models on students' decisions to pursue the IS major; teaching ""people networking"" skills for CIS students; a case of bias in teaching, grading, and plagiarism; a relational view of accounting information sharing; reporting capabilities, financial closing time and effects on cost of equity capital; reflecting on the role of IT and IT research in healthcare; social media around the world; understanding the effects of freeriding in team dynamics; password policy effects on entropy and recall: research in progress; the role of individual characteristics on insider abuse intentions; building a methodology to assess the e-Government transformation success; optimizing freight delivery for less-than-truckload transportation; the influence of perceived information and network characteristics on the attitude towards information overload; information disclosure and generational differences in social network sites; trasactive memory systems virtual team training model; the case of open government and teaching and learning in a virtual world."
6,"Digital Health is a subject of extensive discourse when considering its current and future significance. This significance arises from a convergence of various factors, including the escalating capabilities and cost-effectiveness of computing and communication technology, coupled with the mounting demands and challenges faced by healthcare systems. The integration of health and technology, when studied collectively with the purpose of addressing tangible real-world issues, holds the potential to generate substantial outcomes that greatly influence the provision of clinical and social care, thereby enhancing the overall well-being of both individuals and populations. In this sense, in this paper we propose a collaborative approach, using Open Innovation, where the most relevant stakeholders—health and care professionals, citizens and companies—work together to develop and validate innovative digital solutions for health and care. We have called this approach of value co-creation the Collaborative Ecosystem, and we focus specifically on the potential development of the Regional Ecosystem for Collaborative Innovation in Digital Health and Care, and the envisioned implications of its implementation in economic and social dimensions. 2023 Carrilho, Videira, Campos, Midão and Costa."
7,"mHealth4Afrika is a collaborative research and innovation project, co-funded under Horizon 2020. It is focused on supporting Sustainable Development Goal 3 and Horizon 2020 Societal challenges by developing, researching and evaluating the potential impact of co-designing an open source, multilingual enabled mHealth platform to support quality community-based primary maternal healthcare delivery at semi-urban, rural and deep rural clinics, based on end-user requirements in Southern Africa (Malawi, South Africa), East Africa (Kenya) & Horn of Africa (Ethiopia). This paper aims to share the co-design process applied to develop and validate the alpha prototype, and the implications this had on the design of the beta platform. The validation of the alpha prototype was undertaken with 49 participants from 14 healthcare clinics across Northern Ethiopia, Western Kenya, Southern Malawi and Eastern Cape, South Africa during November-December 2016, using a mix of observation and semi-structured interviews. These findings have informed the co-design of the mHealth4Afrika beta platform, which will be installed in participating clinics on a phased basis during Q3 2017. The expected outcome is a multi-region proof of concept that can make a significant contribution in accelerating exploitation of mHealth across Africa. © 2017 IEEE."
8,"Background and objectives: The recent progress in medical image analysis has resulted in image-guided therapy, virtual reality, and augmented reality, other innovations that have greatly improved healthcare delivery, improved the quality of life, and saved lives. The advances in Internet and network technology have produced web technologies which make it possible to offer platform or software as a service via the web, making it possible for end users to access computer resources or specialized computer tools remotely. However, the high cost of image acquisition, the limited availability of medical image analysts, and the limited collaborative efforts between medical experts and scientists are major challenges for medical image analysis in the developing world. The aim of this project was to devise a medical image e-infrastructure called Medical Image Processor and Analysis (MIPAR) to contain a repository of medical images acquired from Africa and a platform for processing medical images. Methods: The backend of MIPAR which is resident on a High-Performance Computing infrastructure was built using FutureGateway, a framework for building science gateway. The image upload and download module was built upon the framework of Open Access Repository with the front end developed using HTML, CSS and BootStrap. JavaScript and JQuery were used for scripting. User's access to the server is controlled with HTTP response and a Client-Server Architecture, while the image processing tools on the server side communicate with PHP using Representational State Architecture (REST) API. Results: MIPAR was tested using brain MRI images. Images were submitted remotely via MIPAR's web interface and kept in the repository. A 3D image of approximately 43MB was uploaded within 43 seconds. Downloading of the same image took approximately 30 seconds. To test the image processing facility, our request for brain extraction of the same image was successfully completed within 60 seconds. Conclusion: MIPAR allows users to donate, download and process medical images at no cost. It is our hope that such useful and unique tools will encourage collaboration, improve diagnosis, improve patient management, and promote open science in Africa. © 2019"
9,"The open innovation hub Digital Health and Patient Safety Platform (DHPSP) was recently established with the purpose to invigorate collaborative scientific research and the development of new digital products and personalized solutions aiming to improve human health and patient safety. In this study, we evaluated the effectiveness of a Twitter-based campaign centered on using the hashtag #DHPSP to promote the visibility of the DHPSP initiative. Thus, tweets containing #DHPSP were monitored for five weeks for the period 20.10.2020–24.11.2020 and were analyzed with Symplur Signals (social media analytics tool). In the study period, a total of 11,005 tweets containing #DHPSP were posted by 3020 Twitter users, generating 151,984,378 impressions. Analysis of the healthcare stakeholder-identity of the Twitter users who used #DHPSP revealed that the most of participating user accounts belonged to individuals or doctors, with the top three user locations being the United States (501 users), the United Kingdom (155 users), and India (121 users). Analysis of co-occurring hashtags and the full text of the posted tweets further revealed that the major themes of attention in the #DHPSP Twitter-community were related to the coronavirus disease 2019 (COVID-19), medicine and health, digital health technologies, and science communication in general. Overall, these results indicate that the #DHPSP initiative achieved high visibility and engaged a large body of Twitter users interested in the DHPSP focus area. Moreover, the conducted campaign resulted in an increase of DHPSP member enrollments and website visitors, and new scientific collaborations were formed. Thus, Twitter campaigns centered on a dedicated hashtag prove to be a highly efficient tool for visibility-promotion, which could be successfully utilized by healthcare-related open innovation platforms or initiatives. © 2021 The Author(s)"
10,"Successful medical technologies rely on adequately detecting unsolved or partially solved socially relevant medical challenges or needs. Identifying such needs in a precise way and specifying the medical device requirements constitute the planning stage, which is fundamental for the success of any engineering products, processes or systems under development. In our continuously changing and extremely diverse societies, a shift of trend can be appreciated in several design areas, which now benefit from the collaborative efforts of co-creators and from bottom-up innovation strategies. Indeed, traditional in-house innovation lacks dynamism, creative power and attention to end users’ needs, as compared with more recent open-innovation environments. In the medical industry, the emergent area of open-source medical devices, developed in collaboration and shared with colleagues, medical professionals, patients and patient associations and citizens, can benefit from the employment of systematic needs identification techniques oriented to bottom-up strategies. In the chapter, we present some options for a methodical identification of needs, as a support to getting started with open-source medical device projects. We illustrate such techniques by means of selected cases of studies, in which the potentials of an intimate collaboration with medical professionals, patients and patients associations are put forward. Besides, the relevance of bridging the gap between academia, industry, healthcare professionals and patients is discussed. © Springer Nature Switzerland AG 2022."
