,innovation,innovations
0,0,1
1,1,0
2,0,1
3,0,0
4,2,0
5,2,0
6,1,0
7,0,1
8,2,0
9,3,0
10,3,0
11,0,0
12,3,1
13,2,0
14,1,1
15,2,0
16,4,2
17,3,0
18,2,0
19,2,0
20,2,0
21,1,0
22,1,0
23,4,0
24,1,0
25,1,0
26,0,0
27,3,0
28,1,0
29,3,0
30,1,0
31,11,0
32,1,0
33,0,3
34,1,0
35,3,0
36,3,0
37,4,0
38,1,0
39,4,0
40,1,0
41,0,1
42,4,0
43,1,0
44,2,0
45,0,1
46,1,0
47,1,0
48,1,0
49,0,1
50,1,0
51,2,0
52,4,0
53,4,0
54,1,0
55,0,2
56,1,0
57,0,1
58,1,0
59,3,0
60,4,0
61,1,0
62,1,0
63,3,0
64,1,0
65,0,0
66,1,0
67,1,0
68,1,0
69,2,0
70,3,0
71,1,0
72,0,1
73,1,0
74,2,0
75,4,0
76,5,0
77,3,0
78,4,0
79,1,0
80,2,0
81,2,0
82,1,0
83,6,0
84,1,0
85,0,0
86,2,0
87,0,0
88,4,0
89,0,0
90,0,0
91,2,1
92,0,2
93,0,0
94,2,0
95,2,0
96,2,0
97,1,0
98,1,0
99,0,1
100,0,0
101,0,0
102,1,0
103,0,0
104,4,2
105,2,0
106,4,0
107,1,4
108,6,0
109,11,0
110,3,3
111,0,0
112,2,0
113,2,0
114,0,0
115,1,0
116,2,0
117,1,0
118,0,0
119,0,0
120,1,0
121,0,1
122,22,0
123,0,0
124,0,0
125,1,0
126,1,2
127,1,0
128,0,2
129,2,0
130,2,0
131,1,0
132,1,0
133,4,0
134,0,2
135,1,1
136,0,0
137,0,1
138,1,0
139,1,0
140,2,0
141,0,0
142,0,1
143,1,0
144,2,0
145,0,0
146,4,0
147,0,0
148,0,1
149,0,0
150,0,1
151,0,3
152,0,0
153,0,0
154,0,1
155,1,0
156,0,0
157,0,0
158,0,1
159,1,0
160,1,0
161,1,0
162,4,0
163,0,0
164,0,0
165,1,0
166,1,0
167,0,0
168,0,0
169,1,0
170,0,0
171,0,0
172,2,2
173,0,0
174,0,0
175,1,0
176,0,0
177,1,0
178,0,0
179,2,0
180,3,0
181,0,1
182,0,0
183,0,0
184,0,0
185,0,0
186,0,0
187,0,0
188,0,0
189,0,1
190,0,0
191,0,1
192,0,0
193,0,0
194,0,1
195,0,0
196,0,0
197,0,0
198,1,0
199,0,0
200,0,0
201,0,0
202,0,0
203,0,1
204,1,0
205,1,0
206,0,0
207,0,0
208,1,0
209,1,0
210,0,0
211,0,0
212,0,1
213,0,1
214,0,0
215,0,0
216,0,1
217,0,0
218,1,0
219,0,0
220,0,0
221,0,0
222,0,0
223,2,0
224,0,1
225,0,0
226,0,1
227,0,1
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,1,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,1,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,1,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,0,0
257,0,0
258,0,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,0
273,0,0
274,0,0
275,0,0
276,0,0
277,0,0
278,0,0
279,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
285,0,0
286,0,0
287,0,0
288,0,0
289,0,0
290,0,0
291,0,0
292,0,0
293,0,0
294,0,0
295,0,0
296,0,0
297,0,0
298,0,0
299,0,0
300,0,0
301,0,0
302,0,0
303,0,0
304,0,0
305,0,0
306,0,0
307,0,0
308,0,0
309,0,0
310,0,0
311,0,0
312,0,0
313,0,0
314,0,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,0,0
321,0,0
322,0,0
323,0,0
324,0,0
325,0,0
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,0,0
334,0,0
335,0,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
