"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link","Abstract","Author Keywords","Index Keywords"
"","","","50th Annual Convention of Computer Society of India: ICT Based Innovations, CSI 2015","2018","Advances in Intelligent Systems and Computing","653","","","1","262","261","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031407324&partnerID=40&md5=c70a438c4f8e24c58797cf374ee1ba50","The proceedings contain 25 papers. The special focus in this conference is on of Computer Society of India: ICT Based Innovations. The topics include: Minimax (Maximin) with special approach of gamification in higher education; comparing the behavior of oversampling and undersampling approach of class imbalance learning by combining class imbalance problem with noise; proposed ICT-based transportation model; multi-criteria rating using fuzzy ranking for improving soil recommendation system; a way to connect farmer community to agriculture market for betterment of rural development; a methodical study on behavior of different seeds using an iterative technique with evaluation of cluster validity; bharatanatyam dance classification with rough set tools; effective and efficient digital advertisement algorithms; automation of patient information in healthcare system; recommendation for selecting smart village in india through opinion mining using big data analytics; analyzing online groups or the communities in social media networks by algorithmic approach; open source EJBCA public key infrastructure for e-governance enabled software systems in RRCAT; anticipation of gross domestic product using world development indicators; an efficacious matching of finger knuckle print images using gabor feature; an ensemble-based decision support system for the students' academic performance prediction; content-based social network aggregation; collaborative filtering-based recommender system; classifying exoplanets as potentially habitable using machine learning; towards understanding preference of use of emoticons for effective online communication and promotion; computer simulation using GPSC package MATLAB, simulink for bioinformatics professional.","",""
"Tissingh E.K.; Marais L.; Loro A.; Bose D.; Ferguson J.; Morgensten M.; McNally M.","Tissingh, Elizabeth K (56514046700); Marais, Leonard (55916269100); Loro, Antonio (58072603400); Bose, Deepa (9744984200); Ferguson, Jamie (56060448700); Morgensten, Mario (57730054400); McNally, Martin (7006561159)","56514046700; 55916269100; 58072603400; 9744984200; 56060448700; 57730054400; 7006561159","Management of fracture-related infection in low resource settings: how applicable are the current consensus guidelines?","2022","EFORT Open Reviews","7","6","","422","432","10","10.1530/EOR-22-0031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131402972&doi=10.1530%2fEOR-22-0031&partnerID=40&md5=3c43dc03f44cbf28ab3ec65557cd8cb5","The global burden of fracture-related infection (FRI) is likely to be found in countries with limited healthcare resources and strategies are needed to ensure the best available practice is context appropriate. This study has two main aims: (i) to assess the applicability of recently published expert guidance from the FRI consensus groups on the diagnosis and management of FRI to low- and middle-income countries (LMICs); (ii) to summarise the available evidence on FRI, with consideration for strategies applicable to low resource settings. Data related to the International Consensus Meeting Orthopaedic Trauma Work Group and the International Fracture Related Infection Consensus Group FRI guidelines were collected including panel membership, country of origin, language of publication, open access status and impact factor of the journal of publication. The recommendations and guidelines were then summarised with specific consideration for relevance and applicability to LMICs. Barriers to implementation were explored within a group of LMIC residents and experienced workers. The authorship, evidence base and reach of the FRI consensus guidelines lack representation from low resource settings. The majority of authors (78.5-100%) are based in high-income countries and there are no low-income country collaborators listed in any of the papers. All papers are in English. The FRI consensus guidelines give a clear set of principles for the optimum management of FRI. Many of these - including the approach to diagnosis, multidisciplinary team working and some elements of surgical management - are achievable in low resource settings. Current evidence suggests that it is important that a core set of principles is prioritised but robust evidence for this is lacking. There are major organisational and infrastructure obstacles in LMICs that will make any standardisation of FRI diagnosis or management challenging. The detail of how FRI consensus principles should be applied in low resource settings requires further work. The important work presented in the current FRI consensus guidelines is relevant to low resource settings. However, leadership, collaboration, creativity and innovation will be needed to implement these strategies for communities who need it the most. © 2022. The authors. All Rights Reserved.","consensus fracture fracture-related infection definition diagnosis infection low- and middle-income countries (LMICs)","antibiotic agent; antibiotic therapy; appropriate technology; Article; clinical pathway; collaborative care team; consensus; creativity; disease classification; drug use; evidence based practice; experimental therapy; fracture infection; funding; high income country; human; leadership; low income country; multidisciplinary team; practice guideline; publication; strategic planning; systematic review (topic); systemic therapy; treatment outcome"
"Aribisala B.; Olabanjo O.","Aribisala, Benjamin (26660607700); Olabanjo, Olusola (57202818964)","26660607700; 57202818964","Medical Image Processor and Repository – MIPAR","2018","Informatics in Medicine Unlocked","12","","","75","80","5","10.1016/j.imu.2018.06.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049477844&doi=10.1016%2fj.imu.2018.06.005&partnerID=40&md5=b0ab7dd0eb84b823c5a61118526157b5","Background and Objectives: The recent progress in medical image analysis has given birth to image-guided therapy, virtual reality and augmented reality. These among other innovations have greatly improved healthcare delivery, improved quality of life and also saved lives. The advances in Internet and network technology have produced web technologies which make it possible to offer platform or software as a service via the web, making it possible for end users to access computer resources or specialized computer tools remotely. However, the high cost of image acquisition, the limited availability of medical image analysts, and the limited collaborative efforts between medical experts and scientists are major challenges for medical image analysis in the developing world. The aim of this project was to develop a medical image e-infrastructure called Medical Image Processor and Analysis (MIPAR) to contain a repository of medical images acquired from Africa and a platform for processing medical images. Methods: The backend of MIPAR which is resident on a High-Performance Computing infrastructure was built using FutureGateway, a framework for building science gateway. The image upload and download module was built upon the framework of Open Access Repository with the front end developed using HTML, CSS and BootStrap. JavaScript and JQuery were used for scripting. User's access to the server is controlled with HTTP response and a Client-Server Architecture, while the image processing tools on the server side communicate with PHP using Representational State Architecture (REST) API. Results: MIPAR was tested using brain MRI images. Images were submitted remotely via MIPAR's web interface and kept in the repository. Image processing facility of MIPAR was tested using the brain extraction module, a 3D image of approximately 43MB was successfully brain extracted within 60 s. Conclusion: MIPAR allows users to donate, download and process medical images at no cost. It is our hope that such useful and unique tool will encourage collaboration, improve diagnosis, improve patient management, and promote open science in Africa. © 2018","E-infrastructure; Image analysis; Medical image; Open source; Repository",""
"Mensah-Gourmel J.; Bourgain M.; Kandalaft C.; Chatelin A.; Tissier O.; Letellier G.; Gorter J.W.; Brochard S.; Pons C.","Mensah-Gourmel, Johanne (57216327108); Bourgain, Maxime (57196348299); Kandalaft, Christèle (57218630128); Chatelin, Alain (56520079400); Tissier, Odile (57865189400); Letellier, Guy (57193916188); Gorter, Jan Willem (7004566926); Brochard, Sylvain (16028148700); Pons, Christelle (55752507200)","57216327108; 57196348299; 57218630128; 56520079400; 57865189400; 57193916188; 7004566926; 16028148700; 55752507200","Starting from the needs: what are the appropriate sources to co-create innovative solutions for persons with disabilities?","2022","Disability and Rehabilitation: Assistive Technology","","","","","","","10.1080/17483107.2022.2114554","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136845784&doi=10.1080%2f17483107.2022.2114554&partnerID=40&md5=8b1a5ac81990a002d87a8472f3340e07","Purpose: Technical solutions could facilitate activities and participation in individuals with disabilities. For the development of solutions, hackathons are a method of interdisciplinary collaboration. For hackathon, the definition of pain points that require solutions is crucial. We aimed to determine engineers’ preferences and expectations regarding pain point qualities. Methods: We used a collaborative approach involving individuals with disability, families, and healthcare professionals to determine pain points for use by engineering students during a disability Hackathon. A pain point bank was built using 3 upstream sources: a survey (350 responses, 20 pain points selected), interviews (8 children, 13 pain points), and a multidisciplinary workshop based on design thinking methods (45 people, 32 pain points). A fourth source was 20 adults with disabilities present during the Hackathon. Engineering students rated pain point qualities from each source in a questionnaire that included closed questions relating to predefined criteria: achievability, specificity, relevance and attractiveness and open questions to collect non-predefined quality criteria. Results: Pain points from the workshop were most frequently used (48%); followed by on-site discussions with mentors (43%), the survey (38%), and interviews (31%). On-site discussions received the highest quality ratings followed by the workshop, survey, and interviews. Three quality criteria emerged from the responses to open questions: “representative”, “empathy”, and “real-need”. Conclusions: To be actionable by engineers, pain points must relate to real needs, be achievable, specific, relevant and attractive but also representative and arouse empathy. We devised a checklist of qualities along with a toolbox of methods to achieve each.Implications For Rehabilitation The first step of the development of technical solutions for children and individuals with disabilities is the identification of their needs and their adequate formulation to be submitted to technical solutions providers. Daily life needs of individuals with disability were gathered for an engineering hackathon and proposed as pain points to 400 engineering students. To facilitate the development of solutions by engineers, pain points must relate to real needs, be specific, relevant, achievable and attractive; be representative and arouse empathy; a toolbox of needs collection methods is proposed to achieve each of those qualities. Discussions with individuals with disability and health professionals should be provided. © 2022 Informa UK Limited, trading as Taylor & Francis Group.","daily life; disability; hackathon; Innovation; multidisciplinary; technical solutions",""
"","","","18th Americas Conference on Information Systems 2012, AMCIS 2012, Volume 5","2012","18th Americas Conference on Information Systems 2012, AMCIS 2012","5","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84877915095&partnerID=40&md5=749ca7278a60e596c51a5d3de24bee8e","The proceedings contain 572 papers. The special focus in this conference is on Information Systems. The topics include: Health diagnosis of communities of practices (CoPs); open source alternatives for business intelligence; identifying business process activity mappings by optimizing behavioral similarity; hanging with the right crowd; a taxonomy of web-based inbound open innovation initiatives; database intrusion detection: defending against the insider threat; an empirical study of the GIGO axiom in satisficing decisions; analysis of probabilistic news recommender systems; the influence of technology characteristics on privacy calculus; instant messaging privacy in the clouds; towards a component-based description of business models; two-sided cybermediary platforms; an integrative analysis of transactional e-government web usage; facebook usage in government-a case study of information content; deriving business value from asymmetric penalty-reward perspectives of IS users; create attention to attract attention-viral marketing of digital music in social networks; towards a framework for transforming business models into business processes; factors affecting perceived satisfaction with a BPM tool; hypercompetition in the Erp industry; structural flaws in the ethics of technology; ethical considerations for virtual worlds; personality, gender and careers in information technology; on IT control weaknesses in auditors' reports on internal control; effect of the SOX act on IT governance; the influence of general sustainability attitudes and value congruence on consumer behavior; user privacy in mobile advertising; system learning of user interactions; deploying mission critical learning management system using open source software; theorizing the dual role of information technology in technostress research; boundary spanning in business process management; ERP usability and the mangle of practice; direct manipulation tablet apps for education; comparing graphical and tangible user interfaces for a tower defense game; visual perception model for online target marketing; eye movements, perceptions, and performance; individual relationships with technology; internal audit function response to ERP systems implementation; auditing journal entries using self-organizing map; consumer perceptions of the adoption of electronic personal health records; investigating the reciprocal relationships within health virtual communities; designing and visualising healthcare delivery systems; how multinational firms use IT to manage their global operations; conflict, value diversity, and performance in virtual teams; mobile ICT and knowledge sharing in underserved communities; agile decision making framework to support mobile microloans for unbanked customers; the analysis of the telecommunications industry in Thailand; the business value of knowledge management; providing information feedback to bidders in online multi-unit combinatorial auctions; spatial modeling using agents; using probabilistic ontologies for video exploration; new directions, new challenges, and new understandings; function-based categorization of online product information types; exploring antecedents of habit on social network service; personality correlation analysis and applications in social networks; identifying experts in virtual forecasting communities; black males in IT higher education in the USA; technology features, empowering perceptions, and voicing behavior on microblog; information security policy compliance; a preliminary taxonomy for software failure impact; an examination of the success of post-merger IT integration; an analysis of and perspective on the information security maturity model; geographic information systems and the nonprofit sector; effectiveness of shallow hierarchies for document stores; a methodology for the development of web-based information systems; balanced resource allocation; demand response in smart grids; decision support for electric vehicle charging; the expectations for faculty in Latin America; mastering the social IT/Business Alignment Challenge; supply chain resource planning systems; towards a research framework for VLBA operation management; integrating enterprise system's 3rd wave into IS curriculum; a two-tier data-centric framework for flexible business process management; engagement in online communities; organisational semiotics methods to assess organisational readiness for internal use of social media; social media in the workplace; economics of pair programming revisited; social traps of agile methods; metadata exploitation in large-scale data migration projects; collaboratively assessing information quality on the web; reputation management in social commerce communities; E-Business adoption research; a preliminary information theory of difference; replacement of project manager during IT projects-a research agenda; a simulation study of project management and collaborative information technologies; the role of business information visualization in knowledge creation; effects of narrative structure and salient decision points in role playing games; adoption of pervasive e-health solutions; security practices and regulatory compliance in the healthcare industry; the role of demographic characteristics in health care strategic security planning; tailoring software process capability/maturity models for telemedicine systems; understanding dynamic collaboration in teleconsultation; the pathway to enterprise mobile readiness; investigating the role of social media and social capital; exploring 311-driven changes in city government; preventing the gradual decline of shared service centers; developing a conceptual framework for evaluating public sector transformation in the digital era; the impact of cultural differences on cloud computing ecosystems in U.S. and China; an examination of the impact of service climate on service productivity in the organizational context; information systems facilitating groundwater sustainability management; keeping electronic medical records secure and portable; the emerging role of robotics in home health care; information quality assessment technique to evaluate the information exchange; boundary dialogues in user-centric innovation; towards a meditation brain state model using electroencephalographic data; design method requirements for agile system of systems; design and evaluation of a socially enhanced classroom blog to pomote student learning in higher education; it's not all about the music: user preference for musicians on facebook; knowledge seeking and knowledge sharing in a nonprofit organizational partner network: a social network analysis; the mediating role of adaptive personalization in online shopping; exploring the temporal nature of sociomateriality from a work system perspective; sociomateriality as radical ontology; information security management; meeting global business information requirements with enterprise resource planning; knowledge sharing in social networking sites for e-collaboration; applying cognitive principles of similarity to data integration-the case of SIAM; reference model in design science research to gather and model information; impact of online content on attitudes and buying intentions; prospect theory and information security investment decisions; using domain knowledge to facilitate cyber security analysis; conceptualizing data security threats and countermeasures in the E-Discovery process with misuse cases; an empirical analysis of an individual's 360 degree protection from file and data loss; analysis of eBook lending: a game-theory approach; facilitating consumers' evaluation of experience goods and the benefits for vendors; three-factor Model vs. Two-Factor Model; automating enterprise architecture documentation using an enterprise service bus; the influence of role models on students' decisions to pursue the IS major; teaching ""people networking"" skills for CIS students; a case of bias in teaching, grading, and plagiarism; a relational view of accounting information sharing; reporting capabilities, financial closing time and effects on cost of equity capital; reflecting on the role of IT and IT research in healthcare; social media around the world; understanding the effects of freeriding in team dynamics; password policy effects on entropy and recall: research in progress; the role of individual characteristics on insider abuse intentions; building a methodology to assess the e-Government transformation success; optimizing freight delivery for less-than-truckload transportation; the influence of perceived information and network characteristics on the attitude towards information overload; information disclosure and generational differences in social network sites; trasactive memory systems virtual team training model; the case of open government and teaching and learning in a virtual world.","",""
"Carrilho J.; Videira D.; Campos C.; Midão L.; Costa E.","Carrilho, Joana (57513488200); Videira, Diogo (58487457500); Campos, Cláudia (58487873500); Midão, Luis (57173034200); Costa, Elísio (7402527214)","57513488200; 58487457500; 58487873500; 57173034200; 7402527214","Changing the paradigm in health and care services: modern value chains using open innovation for the creation of new digital health solutions","2023","Frontiers in Digital Health","5","","1216357","","","","10.3389/fdgth.2023.1216357","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164792189&doi=10.3389%2ffdgth.2023.1216357&partnerID=40&md5=3f3758ec5013e570dd27d3b6682f1028","Digital Health is a subject of extensive discourse when considering its current and future significance. This significance arises from a convergence of various factors, including the escalating capabilities and cost-effectiveness of computing and communication technology, coupled with the mounting demands and challenges faced by healthcare systems. The integration of health and technology, when studied collectively with the purpose of addressing tangible real-world issues, holds the potential to generate substantial outcomes that greatly influence the provision of clinical and social care, thereby enhancing the overall well-being of both individuals and populations. In this sense, in this paper we propose a collaborative approach, using Open Innovation, where the most relevant stakeholders—health and care professionals, citizens and companies—work together to develop and validate innovative digital solutions for health and care. We have called this approach of value co-creation the Collaborative Ecosystem, and we focus specifically on the potential development of the Regional Ecosystem for Collaborative Innovation in Digital Health and Care, and the envisioned implications of its implementation in economic and social dimensions. 2023 Carrilho, Videira, Campos, Midão and Costa.","digital health; digital transformation; ecosystem; innovation; open innovation","article; ecosystem; human"
"Cunningham M.; Cunningham P.M.; Van Greunen D.; Veldsman A.; Kanjo C.; Kweyu E.; Tilahun B.","Cunningham, Miriam (56640600400); Cunningham, Paul M. (56640715000); Van Greunen, Darelle (10046346400); Veldsman, Alida (24538203800); Kanjo, Chipo (36023864500); Kweyu, Emmanuel (56649367400); Tilahun, Binyam (57212075730)","56640600400; 56640715000; 10046346400; 24538203800; 36023864500; 56649367400; 57212075730","MHealth4Afrika alpha validation in rural and deep rural clinics in Ethiopia, Kenya, Malawi and South Africa","2017","GHTC 2017 - IEEE Global Humanitarian Technology Conference, Proceedings","2017-January","","","1","9","8","10.1109/GHTC.2017.8239347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047724507&doi=10.1109%2fGHTC.2017.8239347&partnerID=40&md5=75b501adbfb6c370da87c3388e44a2e3","mHealth4Afrika is a collaborative research and innovation project, co-funded under Horizon 2020. It is focused on supporting Sustainable Development Goal 3 and Horizon 2020 Societal challenges by developing, researching and evaluating the potential impact of co-designing an open source, multilingual enabled mHealth platform to support quality community-based primary maternal healthcare delivery at semi-urban, rural and deep rural clinics, based on end-user requirements in Southern Africa (Malawi, South Africa), East Africa (Kenya) & Horn of Africa (Ethiopia). This paper aims to share the co-design process applied to develop and validate the alpha prototype, and the implications this had on the design of the beta platform. The validation of the alpha prototype was undertaken with 49 participants from 14 healthcare clinics across Northern Ethiopia, Western Kenya, Southern Malawi and Eastern Cape, South Africa during November-December 2016, using a mix of observation and semi-structured interviews. These findings have informed the co-design of the mHealth4Afrika beta platform, which will be installed in participating clinics on a phased basis during Q3 2017. The expected outcome is a multi-region proof of concept that can make a significant contribution in accelerating exploitation of mHealth across Africa. © 2017 IEEE.","Africa; Electronic Healthcare Records; Ethiopia; Kenya; Malawi; mHealth; Sensors; South Africa; Telemedicine","Sensors; Telemedicine; Africa; Electronic healthcare records; Ethiopia; Kenya; Malawi; South Africa; mHealth"
"Aribisala B.; Olabanjo O.","Aribisala, Benjamin (26660607700); Olabanjo, Olusola (57202818964)","26660607700; 57202818964","Erratum: Medical Image Processor and Repository – MIPAR (Informatics in Medicine Unlocked (2019) 16, (S235291481930276X), (10.1016/j.imu.2019.100246))","2019","Informatics in Medicine Unlocked","16","","100235","","","","10.1016/j.imu.2019.100235","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072245999&doi=10.1016%2fj.imu.2019.100235&partnerID=40&md5=6c2d108cc6333b03e09d511a6fb0528f","Background and objectives: The recent progress in medical image analysis has resulted in image-guided therapy, virtual reality, and augmented reality, other innovations that have greatly improved healthcare delivery, improved the quality of life, and saved lives. The advances in Internet and network technology have produced web technologies which make it possible to offer platform or software as a service via the web, making it possible for end users to access computer resources or specialized computer tools remotely. However, the high cost of image acquisition, the limited availability of medical image analysts, and the limited collaborative efforts between medical experts and scientists are major challenges for medical image analysis in the developing world. The aim of this project was to devise a medical image e-infrastructure called Medical Image Processor and Analysis (MIPAR) to contain a repository of medical images acquired from Africa and a platform for processing medical images. Methods: The backend of MIPAR which is resident on a High-Performance Computing infrastructure was built using FutureGateway, a framework for building science gateway. The image upload and download module was built upon the framework of Open Access Repository with the front end developed using HTML, CSS and BootStrap. JavaScript and JQuery were used for scripting. User's access to the server is controlled with HTTP response and a Client-Server Architecture, while the image processing tools on the server side communicate with PHP using Representational State Architecture (REST) API. Results: MIPAR was tested using brain MRI images. Images were submitted remotely via MIPAR's web interface and kept in the repository. A 3D image of approximately 43MB was uploaded within 43 seconds. Downloading of the same image took approximately 30 seconds. To test the image processing facility, our request for brain extraction of the same image was successfully completed within 60 seconds. Conclusion: MIPAR allows users to donate, download and process medical images at no cost. It is our hope that such useful and unique tools will encourage collaboration, improve diagnosis, improve patient management, and promote open science in Africa. © 2019","E-infrastructure; Image analysis; Medical image; Open source; Repository","erratum"
"Kletecka-Pulker M.; Mondal H.; Wang D.; Parra R.G.; Maigoro A.Y.; Lee S.; Garg T.; Mulholland E.J.; Devkota H.P.; Konwar B.; Patnaik S.S.; Lordan R.; Nawaz F.A.; Tsagkaris C.; Rayan R.A.; Louka A.M.; De R.; Badhe P.; Schaden E.; Willschke H.; Maleczek M.; Boyina H.K.; Khalid G.M.; Uddin M.S.; Sanusi; Khan J.; Odimegwu J.I.; Yeung A.W.K.; Akram F.; Sai C.S.; Bucher S.; Paswan S.K.; Singla R.K.; Shen B.; Di Lonardo S.; Tosevska A.; Simal-Gandara J.; Zec M.; González-Burgos E.; Habijan M.; Battino M.; Giampieri F.; Tikhonov A.; Cianciosi D.; Forbes-Hernandez T.Y.; Quiles J.L.; Mezzetti B.; Babiaka S.B.; Ahmed M.E.O.; Piccard P.; Urquiza M.S.; Depew J.R.; Schultz F.; Sur D.; Pai S.R.; Găman M.-A.; Cenanovic M.; Tzvetkov N.T.; Tripathi S.K.; Kharat K.R.; Garcia-Sosa A.T.; Sieber S.; Atanasov A.G.","Kletecka-Pulker, Maria (26023175800); Mondal, Himel (57193869996); Wang, Dongdong (57191349071); Parra, R. Gonzalo (55325203500); Maigoro, Abdulkadir Yusif (57222074564); Lee, Soojin (57860532700); Garg, Tushar (57681919400); Mulholland, Eoghan J. (57195618719); Devkota, Hari Prasad (24775939500); Konwar, Bikramjit (57224477465); Patnaik, Sourav S. (42662152400); Lordan, Ronan (57193398662); Nawaz, Faisal A. (57223253410); Tsagkaris, Christos (57210572726); Rayan, Rehab A. (57222035612); Louka, Anna Maria (57223787086); De, Ronita (8616190800); Badhe, Pravin (57224478916); Schaden, Eva (32868190600); Willschke, Harald (8702875100); Maleczek, Mathias (57204445678); Boyina, Hemanth Kumar (56011802200); Khalid, Garba M. (57211375316); Uddin, Md. Sahab (57194343265); Sanusi (57222808824); Khan, Johra (57132077800); Odimegwu, Joy I. (24576872000); Yeung, Andy Wai Kan (56566138000); Akram, Faizan (57224473978); Sai, Chandragiri Siva (57223229714); Bucher, Sherri (8971841900); Paswan, Shravan Kumar (37108396900); Singla, Rajeev K. (35213984700); Shen, Bairong (7401580760); Di Lonardo, Sara (57386401400); Tosevska, Anela (56418632200); Simal-Gandara, Jesus (7004118440); Zec, Manja (36674035800); González-Burgos, Elena (36604439900); Habijan, Marija (57210461354); Battino, Maurizio (7006249830); Giampieri, Francesca (36143973100); Tikhonov, Aleksei (56900703600); Cianciosi, Danila (57194410556); Forbes-Hernandez, Tamara Y. (55943372400); Quiles, José L. (57196263267); Mezzetti, Bruno (6603323795); Babiaka, Smith B. (55249713500); Ahmed, Mosa E.O. (57224476207); Piccard, Paula (57224464883); Urquiza, Mágali S. (57224464348); Depew, Jennifer R. (57224484541); Schultz, Fabien (57216153758); Sur, Daniel (57194064798); Pai, Sandeep R. (23005924000); Găman, Mihnea-Alexandru (56398366500); Cenanovic, Merisa (36343365000); Tzvetkov, Nikolay T. (36841187400); Tripathi, Surya Kant (57204058329); Kharat, Kiran R. (16549897600); Garcia-Sosa, Alfonso T. (22953501800); Sieber, Simon (54413218900); Atanasov, Atanas G. (7102991067)","26023175800; 57193869996; 57191349071; 55325203500; 57222074564; 57860532700; 57681919400; 57195618719; 24775939500; 57224477465; 42662152400; 57193398662; 57223253410; 57210572726; 57222035612; 57223787086; 8616190800; 57224478916; 32868190600; 8702875100; 57204445678; 56011802200; 57211375316; 57194343265; 57222808824; 57132077800; 24576872000; 56566138000; 57224473978; 57223229714; 8971841900; 37108396900; 35213984700; 7401580760; 57386401400; 56418632200; 7004118440; 36674035800; 36604439900; 57210461354; 7006249830; 36143973100; 56900703600; 57194410556; 55943372400; 57196263267; 6603323795; 55249713500; 57224476207; 57224464883; 57224464348; 57224484541; 57216153758; 57194064798; 23005924000; 56398366500; 36343365000; 36841187400; 57204058329; 16549897600; 22953501800; 54413218900; 7102991067","Impacts of biomedical hashtag-based Twitter campaign: #DHPSP utilization for promotion of open innovation in digital health, patient safety, and personalized medicine","2021","Current Research in Biotechnology","3","","","146","153","7","10.1016/j.crbiot.2021.04.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107640168&doi=10.1016%2fj.crbiot.2021.04.004&partnerID=40&md5=453810b7087184b8d2f41e0f2a5743b1","The open innovation hub Digital Health and Patient Safety Platform (DHPSP) was recently established with the purpose to invigorate collaborative scientific research and the development of new digital products and personalized solutions aiming to improve human health and patient safety. In this study, we evaluated the effectiveness of a Twitter-based campaign centered on using the hashtag #DHPSP to promote the visibility of the DHPSP initiative. Thus, tweets containing #DHPSP were monitored for five weeks for the period 20.10.2020–24.11.2020 and were analyzed with Symplur Signals (social media analytics tool). In the study period, a total of 11,005 tweets containing #DHPSP were posted by 3020 Twitter users, generating 151,984,378 impressions. Analysis of the healthcare stakeholder-identity of the Twitter users who used #DHPSP revealed that the most of participating user accounts belonged to individuals or doctors, with the top three user locations being the United States (501 users), the United Kingdom (155 users), and India (121 users). Analysis of co-occurring hashtags and the full text of the posted tweets further revealed that the major themes of attention in the #DHPSP Twitter-community were related to the coronavirus disease 2019 (COVID-19), medicine and health, digital health technologies, and science communication in general. Overall, these results indicate that the #DHPSP initiative achieved high visibility and engaged a large body of Twitter users interested in the DHPSP focus area. Moreover, the conducted campaign resulted in an increase of DHPSP member enrollments and website visitors, and new scientific collaborations were formed. Thus, Twitter campaigns centered on a dedicated hashtag prove to be a highly efficient tool for visibility-promotion, which could be successfully utilized by healthcare-related open innovation platforms or initiatives. © 2021 The Author(s)","Digital health; Open innovation; Patient safety; Personalized medicine; Science communication; Twitter hashtags","Article; coronavirus disease 2019; human; India; information dissemination; patient safety; personalized medicine; physician; social media; telehealth; United Kingdom; United States"
"Makobore P.N.; Díaz Lantada A.; Di Pietro L.; De Maria C.; Ahluwalia A.","Makobore, Philippa Ngaju (57200700182); Díaz Lantada, Andrés (16319177900); Di Pietro, Licia (57192913165); De Maria, Carmelo (57200710316); Ahluwalia, Arti (7004369208)","57200700182; 16319177900; 57192913165; 57200710316; 7004369208","Getting Started with an Open-Source Medical Device Project: Systematic Needs Identification Techniques for Bottom-Up Strategies","2022","Engineering Open-Source Medical Devices: A Reliable Approach for Safe, Sustainable and Accessible Healthcare","","","","39","57","18","10.1007/978-3-030-79363-0_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158993015&doi=10.1007%2f978-3-030-79363-0_3&partnerID=40&md5=5c46843ad0f5d8f9cce5b5bfc7468920","Successful medical technologies rely on adequately detecting unsolved or partially solved socially relevant medical challenges or needs. Identifying such needs in a precise way and specifying the medical device requirements constitute the planning stage, which is fundamental for the success of any engineering products, processes or systems under development. In our continuously changing and extremely diverse societies, a shift of trend can be appreciated in several design areas, which now benefit from the collaborative efforts of co-creators and from bottom-up innovation strategies. Indeed, traditional in-house innovation lacks dynamism, creative power and attention to end users’ needs, as compared with more recent open-innovation environments. In the medical industry, the emergent area of open-source medical devices, developed in collaboration and shared with colleagues, medical professionals, patients and patient associations and citizens, can benefit from the employment of systematic needs identification techniques oriented to bottom-up strategies. In the chapter, we present some options for a methodical identification of needs, as a support to getting started with open-source medical device projects. We illustrate such techniques by means of selected cases of studies, in which the potentials of an intimate collaboration with medical professionals, patients and patients associations are put forward. Besides, the relevance of bridging the gap between academia, industry, healthcare professionals and patients is discussed. © Springer Nature Switzerland AG 2022.","Biomedical engineering; Needs identification; Open-source medical devices; Product planning; Technology specification",""
