,open,openaccess,opened,opening,openings,openness,opens,opensafely,opensource,propensity
0,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0
5,1,0,0,0,0,0,0,0,0,0
6,1,0,0,0,0,0,0,0,0,0
7,2,0,0,0,0,0,0,0,0,0
8,2,0,0,0,0,0,0,0,0,0
9,3,0,0,0,0,0,0,0,0,0
10,2,0,0,0,0,0,0,0,0,0
11,4,0,1,0,0,0,0,0,0,0
12,3,0,0,0,0,0,0,0,0,0
13,1,0,0,0,0,0,0,0,0,0
14,2,0,0,0,0,0,0,0,0,0
15,1,0,0,0,0,0,0,0,0,0
16,1,0,0,0,0,0,0,0,0,0
17,2,0,0,0,0,0,0,0,0,0
18,4,0,0,0,0,0,0,0,0,0
19,2,0,0,0,0,0,0,0,0,0
20,1,0,0,0,0,0,0,0,0,0
22,1,0,0,0,0,0,0,0,0,0
23,4,0,0,0,0,0,0,0,0,0
24,1,0,0,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0,0
26,1,0,0,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0,0,0
28,1,0,0,0,0,0,0,0,0,0
29,2,0,0,0,0,0,0,0,0,0
30,2,0,0,0,0,0,0,0,0,0
31,1,0,0,0,0,0,0,0,0,0
32,1,0,0,0,0,0,0,0,0,0
33,1,0,0,0,0,0,0,0,0,0
34,2,0,0,0,0,0,0,0,0,0
35,5,0,0,0,0,0,0,0,0,0
36,1,0,0,0,0,0,0,0,0,0
37,3,0,0,0,0,0,0,0,0,0
38,1,0,0,0,0,0,0,0,0,0
39,4,0,0,0,0,0,0,0,0,0
40,1,0,0,0,0,0,0,0,0,0
41,1,0,0,0,0,0,0,0,0,0
42,3,0,0,0,0,0,0,0,0,0
43,1,0,0,0,0,0,0,0,0,0
45,1,1,0,0,0,0,0,0,0,0
46,1,0,0,0,0,0,0,0,0,0
47,2,0,0,0,0,0,0,0,0,0
48,2,0,0,0,0,0,0,0,0,0
49,1,0,0,0,0,0,0,0,0,0
50,1,0,0,0,0,0,0,0,0,0
51,3,0,0,0,0,0,0,0,0,0
52,1,0,0,0,0,0,0,0,0,0
53,3,0,0,0,0,0,0,0,0,0
54,1,0,0,0,0,0,0,0,0,0
55,1,0,0,0,0,0,0,0,0,0
56,1,0,0,0,0,0,0,0,0,0
57,1,0,0,0,0,0,0,0,0,0
58,1,0,0,0,0,0,0,0,0,0
59,5,0,0,0,0,0,0,0,0,0
60,1,0,0,0,0,0,0,0,0,0
61,4,0,0,0,0,0,0,0,0,0
62,6,0,0,0,0,0,0,0,0,0
63,5,0,0,0,0,0,0,0,0,0
64,1,0,0,0,0,0,0,0,0,0
65,1,0,0,0,0,0,0,0,0,0
66,2,0,0,0,0,0,0,0,0,0
67,1,0,0,0,0,0,0,0,0,0
68,2,0,0,0,0,0,0,0,0,0
69,4,0,0,0,0,0,0,0,0,0
70,2,0,0,0,0,0,0,0,0,0
71,1,0,0,0,0,0,0,0,0,0
72,2,0,0,0,0,0,0,0,0,0
73,1,0,0,0,0,0,0,0,0,0
74,8,0,0,0,0,0,0,0,0,0
75,1,0,0,0,0,0,0,0,0,0
76,5,0,0,0,0,0,0,0,0,0
77,2,0,0,0,0,0,0,0,0,0
78,3,0,0,0,0,0,0,0,0,0
79,1,0,0,0,0,0,0,0,0,0
80,4,0,0,0,0,0,0,0,0,0
81,1,0,0,0,0,0,0,0,0,0
82,1,0,0,0,0,0,0,0,0,0
83,3,0,0,0,0,0,0,0,0,0
84,1,0,0,0,0,0,0,0,0,0
86,1,0,0,0,0,0,0,0,0,0
87,1,0,0,0,0,0,0,0,0,0
88,3,0,0,0,0,0,0,0,0,0
89,2,0,0,0,0,0,0,0,0,0
90,1,0,0,0,0,0,0,0,0,0
91,2,0,0,0,0,0,0,0,0,0
92,1,0,0,0,0,0,0,0,0,0
93,3,0,0,0,0,0,0,0,0,0
94,7,0,0,1,0,0,0,0,0,0
95,4,0,0,0,0,0,0,0,0,0
96,4,0,0,0,0,0,0,0,0,0
97,6,0,0,0,0,1,0,0,0,0
99,1,0,0,0,0,0,0,0,0,0
101,1,0,0,0,0,0,0,0,0,0
102,1,0,0,0,0,0,0,0,0,0
103,2,0,0,0,0,0,0,0,0,0
104,1,0,0,0,0,0,0,0,0,0
106,4,0,0,0,0,0,0,0,0,0
109,1,0,0,0,0,0,0,0,0,0
110,1,0,0,0,0,0,0,0,0,0
111,1,0,0,0,0,0,0,0,0,0
112,2,0,0,0,0,0,0,0,0,0
113,2,0,0,0,0,0,0,0,0,0
114,1,0,0,0,0,0,0,0,0,0
115,1,0,0,0,0,0,1,0,0,0
116,1,0,0,0,0,0,0,0,0,0
117,6,0,0,0,0,0,0,0,0,0
119,3,0,0,0,0,0,0,0,0,0
121,1,0,0,0,0,0,0,0,0,0
123,2,0,0,1,0,0,0,0,0,0
124,1,0,0,0,0,0,0,0,0,0
126,1,0,0,0,0,0,0,0,0,0
127,1,0,0,0,0,0,0,0,0,0
128,1,0,0,0,0,0,0,0,0,0
129,1,0,0,0,0,0,0,0,0,0
130,1,0,0,0,0,0,0,0,0,0
132,2,0,0,0,0,0,0,0,0,0
134,1,0,0,0,0,0,0,0,0,0
135,2,0,0,0,0,0,0,0,0,0
138,1,0,0,0,0,0,0,0,0,0
140,8,0,0,0,0,0,0,0,0,0
143,1,0,0,0,0,0,0,0,0,0
144,1,0,0,0,0,0,0,0,0,0
146,1,0,0,0,0,0,0,0,0,0
149,2,0,0,0,0,0,0,0,0,0
150,1,0,0,0,0,0,0,0,0,0
151,1,0,0,0,0,0,0,0,0,0
152,1,0,0,0,0,0,0,0,0,0
153,1,0,0,0,0,0,0,0,0,0
155,1,0,0,0,0,0,0,0,0,0
157,1,0,0,0,0,0,0,0,0,0
158,2,0,0,0,0,0,0,0,0,0
159,1,0,0,0,0,0,0,0,0,0
160,2,0,0,0,0,0,0,0,0,0
162,1,0,0,0,0,0,0,0,0,0
164,1,0,0,0,0,0,0,0,0,0
165,1,0,0,0,0,0,0,0,0,0
166,1,0,0,0,0,0,0,0,0,0
168,1,0,0,0,0,0,0,0,0,0
169,1,0,0,0,0,0,0,0,0,0
170,1,0,0,0,0,0,0,0,0,0
173,1,0,0,0,0,0,0,0,0,0
174,1,0,0,0,0,0,0,0,0,0
175,1,0,0,0,0,0,0,0,0,0
176,5,0,0,0,0,0,0,0,0,0
181,2,0,0,0,0,0,0,0,0,0
184,1,0,0,0,0,0,0,0,0,0
186,1,0,0,0,0,0,0,0,0,0
187,1,0,0,0,0,0,0,0,0,0
188,2,0,0,0,0,0,0,0,0,0
189,1,0,0,0,0,0,0,0,0,0
190,2,0,0,0,0,0,0,0,0,0
191,3,0,0,0,0,0,0,0,0,0
192,2,0,0,0,0,0,0,0,1,0
193,1,0,0,0,0,0,0,0,0,0
194,1,0,0,0,0,0,0,0,0,0
195,1,0,0,0,0,0,0,0,0,0
196,2,0,0,0,0,0,0,0,0,0
198,1,0,0,0,0,0,0,0,0,0
204,1,0,0,0,0,0,0,0,0,0
205,2,0,0,0,0,0,0,0,0,0
206,2,0,0,0,0,0,0,0,0,0
207,1,0,0,0,0,0,0,0,0,0
211,1,0,0,0,0,0,0,0,0,0
213,1,0,0,0,0,0,0,0,0,0
214,1,0,0,0,0,0,0,0,0,0
220,1,0,0,0,0,0,0,0,0,0
221,1,0,0,0,0,0,0,0,0,0
224,1,0,0,0,0,0,0,0,0,0
225,4,0,0,0,0,0,0,0,0,0
226,1,0,0,0,0,0,0,0,0,0
229,1,0,0,0,0,0,0,0,0,0
230,1,0,0,0,0,0,0,0,0,0
232,1,0,0,0,0,0,0,0,0,0
233,1,0,0,0,0,0,0,0,0,0
235,1,0,0,0,0,0,0,0,0,0
241,1,0,1,0,0,0,0,0,0,0
244,1,0,0,0,0,0,0,0,0,0
245,1,0,0,0,0,0,0,0,0,0
248,1,0,0,0,0,0,0,0,0,0
250,1,0,0,0,0,0,0,0,0,0
254,2,0,0,0,0,0,0,0,0,0
255,1,0,0,0,0,0,0,0,0,0
256,1,0,0,0,0,0,0,0,0,0
